mlbam_id,name,season,birth_date,throws,team,G,GS,IP,K,BB,ER,H,HR,CG,SHO,BS,SV,HLD,W,L,ERA,WHIP,BF,pitches,QS,k_minus_bb,whiff_pct_adv,pitches_per_ip,gb_pct,babip,pts,pts_gs,pts_ip,age,is_sp,nkey,player_age,pa_savant,k_percent,bb_percent,xba,xslg,woba,xwoba,xera,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,in_zone_percent,edge_percent,meatball_percent,meatball_swing_percent,whiff_percent,swing_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pull_percent,swing_take_run_value,pitch_run_value_fastball,pitch_run_value_breaking,pitch_run_value_offspeed,pitch_count,pitch_count_fastball,pitch_count_breaking,pitch_count_offspeed,p_quality_start,p_era,throws_sv,n_pitches_10,arsenal_whiff,arsenal_putaway,arsenal_xwoba,arsenal_rv100,best_pitch_whiff,best_pitch_rv100,n_plus_pitches,best_pitch,arsenal_desc,fb_velo,ff_avg_speed,si_avg_speed,movement_uniqueness,sp_rank,il_days,il_stints,il_days_3yr,il_60,il_reasons,il_days_w,stuff_plus,location_plus,pitching_plus,pitching_plus_raw,career_best_gs,seasons_10gs,career_GS,gap_to_best,yoy_stuff_change,yoy_velo_change,BI,track3,ip_gs_last,comeback,proj_pts_gs_raw,age_step,proj_pts_gs,proj_GS,durability,proj_pts,proj_rank,proj_rank_gs,owner,proj_pts_hitting,proj_pts_total,KSV,KSV_2nd,proj_sd,rank_lo,rank_hi,n_tied,keep_tier,kept_2026_as,likely_kept,pool_rank
683363,Matt Wilkinson,2026,2002-12-10,L,San Francisco Giants,7,5,24.666666666666668,18,4,10,21,4,0,0,0,0,0,1,3,3.65,1.01,99,382,1,0.141,0.188,15.49,0.0,0.233,36.66666666666667,7.333333333333334,1.4864864864864866,23.6,True,matt wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.5,17.8,0.31,0.9,17.5,0.9,1.0,4-Seam Fastball,4-Seam Fastball 58% (18% whiff),,,,2.80039840873099,231.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0,5,,,,70.6,7.930726739593487,,False,8.235577378018366,0.21307690439392724,8.448654282412294,10.0,1.0,84.0,209,173,FA,0.0,84.0,-158.0,-143.0,46.0,132.0,231.0,69.0,let go,,False,184
453286,Max Scherzer,2026,1984-07-27,R,Toronto Blue Jays,16,16,72.66666666666667,54,31,49,68,14,0,0,0,0,0,3,8,6.07,1.36,315,1254,4,0.073,0.203,17.26,0.0,0.254,93.66666666666667,5.854166666666667,1.2889908256880733,41.9,True,max scherzer,41.0,315.0,17.1,9.8,0.239,0.406,0.331,0.32,4.36,0.319,0.167,0.356,0.34,87.5,21.8,33.8,8.8,34.6,76.469380531,68.8,12.7,32.6,34.4,65.6,87.3,46.7,44.6,7.3,76.9,20.3,49.5,61.0,32.5,33.3,20.2,14.0,44.7,-4.0,6.042876317382942,-8.334408282836023,-1.7530806180907028,1254.0,665.0,398.0,191.0,4.0,6.07,R,4.0,20.15058325291375,13.775609761503246,0.32072216326098774,-0.4212089101963566,28.7,1.0,2.0,4-Seam Fastball,"4-Seam Fastball 47% (16% whiff), Slider 18% (27% whiff), Changeup 15% (16% whiff), Curveball 14% (29% whiff)",93.1,93.1,,2.252667232096698,185.0,84.0,2.0,312.0,0.0,,178.5,86.4,103.1,87.1,7.837530677386054,15.01449275362319,5,122,-9.160326086956523,-10.699999999999989,-0.5,0.0,7.610034869783143,4.54,False,8.05241463554129,-1.6237781986675048,6.428636436873784,13.0,0.93,84.0,209,232,FA,0.0,84.0,-158.0,-143.0,46.0,129.0,231.0,69.0,let go,,False,185
668984,Casey Legumina,2026,1997-06-19,R,multi,53,6,69.33333333333333,54,19,30,71,7,0,0,0,0,7,2,2,3.89,1.3,296,1097,0,0.118,0.212,15.82,0.0,0.311,93.33333333333333,15.555555555555555,1.3461538461538463,29.0,True,casey legumina,29.0,296.0,18.2,6.4,0.263,0.403,0.326,0.316,4.24,0.318,0.14,0.366,0.355,87.2,11.6,36.3,6.5,37.9,75.797477642,70.5,16.2,32.4,33.3,66.7,83.8,51.9,43.6,8.0,76.7,21.2,52.0,68.9,42.3,28.4,24.7,4.7,35.8,0.0,5.2305790965119625,-6.198105417538114,0.9029810434495491,1097.0,700.0,255.0,124.0,0.0,3.89,R,4.0,20.212018139628036,15.225850335030156,0.31411337862760375,0.6545351456710425,33.8,1.2,3.0,4-Seam Fastball,"4-Seam Fastball 42% (24% whiff), Sinker 22% (10% whiff), Sweeper 12% (34% whiff), Changeup 11% (12% whiff)",93.1,93.1,92.9,4.194268776932212,186.0,0.0,0.0,0.0,0.0,,0.0,96.4,114.1,98.2,9.436421802520794,,0,7,,,,0.2,7.042112024639566,,False,8.540747630793952,-0.1253393555258396,8.415408275268112,10.0,1.0,84.0,209,175,FA,0.0,84.0,-158.0,-143.0,46.0,128.0,232.0,69.0,let go,,False,186
689818,David Sandlin,2026,2001-02-21,R,Chicago White Sox,7,5,34.333333333333336,33,13,24,31,6,0,0,0,0,0,2,2,6.29,1.28,145,553,2,0.138,0.246,16.11,0.0,0.272,51.33333333333334,10.26666666666667,1.4951456310679614,25.4,True,david sandlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,21.725198099761652,19.941045961993513,0.31530269409571254,-0.5619651340349758,25.0,0.9,1.0,Curveball,"4-Seam Fastball 37% (19% whiff), Curveball 26% (25% whiff)",,,,3.759897177494114,216.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0,5,,,,82.5,7.984588627617879,,False,8.28394469227021,0.10027148442067177,8.384216176690881,10.0,1.0,84.0,209,177,FA,0.0,84.0,-158.0,-143.0,46.0,131.0,231.0,69.0,let go,,False,187
623211,Huascar Brazobán,2026,1989-10-15,R,multi,57,6,63.666666666666664,54,29,22,43,5,0,0,4,0,11,6,2,3.11,1.13,256,994,0,0.098,0.254,15.61,0.0,0.23,83.66666666666666,13.944444444444443,1.3141361256544501,36.7,True,huascar brazoban,36.0,256.0,21.1,11.3,0.219,0.33,0.278,0.289,3.5,0.308,0.111,0.294,0.312,86.1,9.9,27.9,4.7,30.8,74.54863,68.9,16.5,31.1,43.5,56.5,83.5,47.9,41.2,6.0,81.7,25.4,49.2,64.3,49.4,23.3,19.2,8.1,47.7,9.0,5.074692484066078,0.19157895945607764,3.4719237387420296,994.0,601.0,6.0,387.0,0.0,3.11,R,2.0,25.542128605228097,18.396119733378892,0.28751884699219765,1.069955654057748,33.7,1.2,2.0,Sinker,"Sinker 51% (19% whiff), Changeup 39% (34% whiff)",96.9,96.9,96.1,2.1312820556838457,199.0,26.0,1.0,26.0,0.0,Left lat strain,26.0,106.6,101.3,106.5,10.632483978833607,,0,9,,,,0.2,6.69370002973609,,False,8.93946675590686,-0.7778958743003226,8.161570881606538,10.0,0.93,82.0,212,191,FA,0.0,82.0,-160.0,-145.0,45.0,133.0,233.0,65.0,let go,,False,188
663738,Daniel Lynch IV,2026,1996-11-17,L,Kansas City Royals,54,8,76.66666666666667,52,23,28,59,6,0,0,2,1,13,6,5,3.29,1.07,312,1146,0,0.093,0.229,14.95,0.0,0.233,94.66666666666669,11.833333333333336,1.2347826086956524,29.6,True,daniel lynch,29.0,312.0,16.7,7.4,0.249,0.392,0.273,0.309,4.04,0.311,0.143,0.285,0.335,88.9,12.7,30.3,5.6,37.2,78.563724957,65.7,14.7,30.4,38.4,61.6,85.3,46.9,43.5,7.3,76.2,22.9,46.9,55.4,48.3,24.4,20.5,6.8,41.0,13.0,0.5023755170882371,8.160517101133168,3.978797350716749,1146.0,533.0,327.0,286.0,0.0,3.29,L,4.0,22.130482458528583,18.637938593583605,0.32092434212642834,0.9383771916079947,37.0,2.9,3.0,Slider,"Sinker 32% (14% whiff), Changeup 24% (25% whiff), Slider 20% (37% whiff), 4-Seam Fastball 15% (14% whiff)",94.6,94.6,94.1,3.1737430231910606,184.0,0.0,0.0,28.0,0.0,,16.8,101.1,97.3,100.6,9.785020119755078,,2,64,,,,0.1,6.378096287841942,,False,8.411013444278163,-0.1629411621835916,8.248072282094572,10.0,1.0,82.0,212,188,FA,0.0,82.0,-160.0,-145.0,45.0,133.0,232.0,65.0,let go,,False,189
700363,AJ Smith-Shawver,2026,2002-11-20,R,Atlanta Braves,7,5,28.0,24,16,20,30,5,0,0,0,0,1,0,2,6.43,1.64,131,516,0,0.061,0.227,18.43,0.0,0.294,32.0,6.4,1.1428571428571428,23.6,True,aj smithshawver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.218015665879854,13.988772845982316,0.3121540469969868,-1.0496083550924062,34.5,-0.9,0.0,4-Seam Fastball,"4-Seam Fastball 38% (10% whiff), Split-Finger 38% (34% whiff)",,,,3.5189189187285246,242.0,126.0,1.0,294.0,0.0,Right elbow reconstruction,213.0,,,,,,0,19,,,,12.0,7.592322229674587,,False,7.931694282274009,0.21307690439392724,8.144771186667937,10.0,1.0,81.0,214,192,FA,0.0,81.0,-161.0,-146.0,45.0,132.0,232.0,63.0,let go,,False,190
680573,Simeon Woods Richardson,2026,2000-09-27,R,multi,20,10,66.0,40,37,49,79,11,0,0,0,0,0,2,7,6.68,1.76,303,1161,1,0.01,0.185,17.59,0.0,0.322,61.0,6.1,0.9242424242424242,25.8,True,simeon woods richardson,25.0,303.0,13.2,12.2,0.28,0.467,0.39,0.368,6.0,0.373,0.186,0.406,0.376,90.0,18.3,33.5,8.5,44.2,79.067889636,64.0,13.4,22.2,32.1,67.9,86.6,48.1,41.7,8.1,75.5,18.5,42.3,57.1,38.8,28.6,23.2,9.4,36.6,-19.0,-0.4975864501894108,-4.906428166054871,-14.065379516460139,1161.0,505.0,369.0,287.0,1.0,6.68,R,3.0,19.06352549934526,13.82372505213839,0.3719722838426643,-2.0053215094058046,20.2,-0.1,0.0,4-Seam Fastball,"4-Seam Fastball 43% (18% whiff), Split-Finger 25% (20% whiff), Slider 22% (19% whiff)",92.6,92.6,91.7,2.848103450085006,207.0,0.0,0.0,23.0,0.0,,13.799999999999999,80.2,77.0,77.5,6.444127792737843,8.196969696969695,3,60,-2.096969696969696,-18.299999999999997,-0.6000000000000085,0.0,7.397481211793539,,False,7.317488922646236,0.07520361331550372,7.392692535961739,11.0,1.0,81.0,214,217,FA,0.0,81.0,-161.0,-146.0,45.0,134.0,232.0,63.0,let go,,False,191
690279,Mason Adams,2026,2000-02-23,R,Colorado Rockies,5,5,23.0,23,12,13,26,6,0,0,0,0,0,0,1,5.09,1.65,101,388,0,0.109,0.189,16.87,0.0,0.339,33.0,6.6,1.434782608695652,26.3,True,mason adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,28.9,25.6,0.345,-1.6,28.9,-1.6,0.0,4-Seam Fastball,4-Seam Fastball 34% (29% whiff),,,,5.3099264735615055,238.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0,5,,,,29.1,7.6109640285085725,,False,7.9484343887852145,0.04386877443404382,7.992303163219258,10.0,1.0,80.0,216,197,FA,0.0,80.0,-162.0,-147.0,45.0,137.0,232.0,61.0,let go,,False,192
641302,Tyler Alexander,2026,1994-07-14,L,Texas Rangers,71,5,68.33333333333333,58,21,28,68,3,0,0,2,4,13,5,2,3.69,1.3,293,1130,0,0.126,0.211,16.54,0.0,0.317,92.33333333333333,18.466666666666665,1.351219512195122,32.0,True,tyler alexander,31.0,294.0,19.7,7.5,0.225,0.313,0.3,0.275,3.15,0.294,0.088,0.333,0.298,86.4,8.8,29.0,3.8,31.9,75.277525769,63.8,14.8,31.2,32.6,67.4,85.2,46.9,43.3,7.3,72.3,21.1,46.5,67.0,52.9,21.9,19.5,5.7,43.3,5.0,5.048693908447798,0.945862881570569,-1.232278437863212,1130.0,658.0,205.0,267.0,0.0,3.69,L,5.0,21.395495494917437,17.55655655577299,0.2746166166055224,0.5199199203207211,28.4,3.0,3.0,4-Seam Fastball,"Changeup 24% (27% whiff), Cutter 21% (20% whiff), Sinker 19% (5% whiff), Sweeper 18% (25% whiff), 4-Seam Fastball 18% (28% whiff)",91.9,91.9,91.3,2.6392212721581236,188.0,0.0,0.0,0.0,0.0,,0.0,93.6,108.3,95.1,8.986708146808272,,2,52,,,,1.6,6.7927546551321365,,False,8.224517202667323,-0.31334838881459903,7.911168813852725,10.0,1.0,79.0,217,198,FA,0.0,79.0,-163.0,-148.0,44.0,138.0,232.0,60.0,let go,,False,193
