mlbam_id,name,p,bi_rank,breakout_next,next_pts
695506,Jac Caglianone,37.127268355175076,1,1,566.0
672640,Otto Lopez,29.152984932853208,2,1,705.0
694384,Nolan Schanuel,28.478546594380738,3,0,394.0
680718,Addison Barger,27.817130728301144,4,0,14.0
683146,Brett Baty,25.090666122540362,5,0,375.0
702616,Jackson Holliday,24.781592564516792,6,0,301.0
691781,Brady House,23.08470502039871,7,0,292.0
682663,Agustín Ramírez,23.016255546403617,8,0,187.0
691718,Pete Crow-Armstrong,20.75641455126891,9,1,895.0
676572,Eric Wagaman,20.616611230176794,10,0,37.0
691777,Max Muncy,19.61293681745897,11,0,250.0
695681,Christian Moore,18.983137019290965,12,0,63.0
687597,Jordan Beck,17.658383110228964,13,0,123.0
671056,Iván Herrera,16.75630565149055,14,0,634.0
702284,Cole Young,16.46847519985129,15,0,535.0
805367,Chase Meidroth,15.91091752591275,16,1,547.0
700337,Edgar Quero,15.773467401625771,17,0,160.0
696030,Alejandro Osuna,13.842115915480324,18,0,198.0
672580,Maikel Garcia,13.032113642976704,19,0,285.0
691406,Junior Caminero,12.365324707984886,20,0,712.0
682985,Riley Greene,11.927514297773413,21,0,568.0
668227,Randy Arozarena,11.666566174522321,22,0,711.0
666176,Jo Adell,10.98242684773274,23,0,560.0
669477,Casey Schmitt,10.757608336879654,24,0,434.0
701350,Roman Anthony,10.613902376856341,25,0,168.0
678246,Miguel Vargas,10.524075043241234,26,1,701.0
700250,Ben Rice,10.320227750445724,27,0,679.0
691723,Coby Mayo,9.257811773007688,28,0,408.0
663647,Ke'Bryan Hayes,8.418822577615407,29,0,122.0
676475,Alec Burleson,8.267969020528646,30,0,674.0
683011,Anthony Volpe,8.230391840098518,31,0,195.0
657757,Gavin Sheets,8.085941727904213,32,0,373.0
686611,Dylan Crews,8.018187192007124,33,0,368.0
665019,Kody Clemens,7.907678650475337,34,1,556.0
691594,Javier Sanoja,7.654014686762159,35,0,446.0
682668,Luisangel Acuña,7.550181708345065,36,0,192.0
678882,Ceddanne Rafaela,7.232436208021687,37,0,619.0
677951,Bobby Witt Jr.,6.881315807255955,38,0,684.0
695336,Thomas Saggese,6.858955996385103,39,0,139.0
687221,Dalton Rushing,6.8092221179090275,40,0,278.0
691026,Masyn Winn,6.718264076848153,41,0,426.0
668939,Adley Rutschman,6.607604984633915,42,0,382.0
680776,Jarren Duran,6.578450733763429,43,0,545.0
701358,Cam Smith,6.5673900864590715,44,0,493.0
672695,Geraldo Perdomo,6.507113636814163,45,0,572.0
686469,Vinnie Pasquantino,6.25594195629292,46,0,392.0
695578,James Wood,5.888219960414477,47,1,716.0
805249,Otto Kemp,5.859962561046745,48,0,6.0
691023,Jordan Walker,5.77975423660172,49,1,743.0
642715,Willy Adames,5.670833177507059,50,0,453.0
650489,Willi Castro,5.666693833521045,51,0,477.0
672386,Alejandro Kirk,5.639125893321307,52,0,290.0
682998,Corbin Carroll,5.588308931455625,53,0,670.0
606466,Ketel Marte,5.555472854525748,54,0,557.0
687363,Victor Scott II,5.107653582835747,55,0,153.0
670770,TJ Friedl,4.988045115167973,56,0,171.0
605137,Josh Bell,4.9566173345634095,57,0,567.0
682177,Daniel Schneemann,4.679371662763968,58,0,237.0
695734,Daylen Lile,4.589041932504364,59,0,629.0
696100,Hunter Goodman,4.552465865199843,60,0,607.0
678554,Curtis Mead,4.316775410476473,61,0,365.0
686217,Sal Frelick,4.285276770844016,62,0,301.0
669701,Josh Smith,4.2384392859814914,63,0,176.0
572233,Christian Walker,4.096226542083907,64,0,539.0
641857,Ryan McMahon,4.075311125112336,65,0,268.0
695657,Colson Montgomery,3.9078429861536326,66,0,542.0
666152,David Hamilton,3.834730530078598,67,0,355.0
621439,Byron Buxton,3.833697911151425,68,0,451.0
669707,Jared Triolo,3.8262839493657537,69,0,294.0
687231,Darell Hernaiz,3.6491573636223524,70,0,113.0
691176,Jasson Domínguez,3.6437366971757235,71,0,195.0
673357,Luis Robert Jr.,3.6114858441134134,72,0,212.0
677800,Wilyer Abreu,3.554371499163573,73,0,662.0
679529,Spencer Torkelson,3.535375029139857,74,0,495.0
686948,Drake Baldwin,3.4176348524368723,75,0,595.0
690993,Colt Keith,3.378775390727228,76,0,379.0
686797,Brooks Lee,3.3374825954988885,77,1,559.0
575929,Willson Contreras,3.0907178930209116,78,0,571.0
665833,Oneil Cruz,3.080903882845786,79,0,501.0
667472,Dane Myers,2.9899434408613947,80,0,300.0
592518,Manny Machado,2.972092053421013,81,0,577.0
672275,Patrick Bailey,2.950406682997398,82,0,283.0
