"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Burr, Ryan",621114,TOR,FF,4-Seam Fastball,0.1,0,224,39.3,52,0.256,0.465,0.373,22.4,25.0,21.3,0.195,0.391,0.326,53.3
"Chirinos, Yonny",630023,MIA,SI,Sinker,-6.9,-11,153,29.7,52,0.522,0.826,0.611,12.7,5.8,8.6,0.357,0.623,0.452,46.5
"Holmes, Clay",605280,NYY,SL,Slider,1.8,5,250,23.0,51,0.133,0.289,0.225,40.7,39.2,22.0,0.162,0.373,0.267,38.5
"Minter, A.J.",621345,ATL,FC,Cutter,0.5,1,180,34.5,51,0.229,0.458,0.314,34.0,35.3,26.9,0.195,0.333,0.258,30.0
"Martin, Davis",663436,CWS,CH,Changeup,-1.5,-3,176,19.7,51,0.34,0.4,0.335,20.4,17.6,15.5,0.3,0.483,0.353,48.8
"Gonzales, Marco",594835,PIT,CH,Changeup,-0.7,-1,139,25.5,51,0.298,0.447,0.345,31.0,25.5,22.0,0.268,0.388,0.313,28.6
"Cease, Dylan",656302,SD,CU,Curveball,-0.5,-1,251,7.9,51,0.28,0.44,0.328,28.6,31.4,21.9,0.305,0.576,0.375,34.3
"Winn, Keaton",676775,SF,FF,4-Seam Fastball,-1.3,-3,223,26.3,51,0.214,0.5,0.339,27.2,29.4,20.3,0.187,0.396,0.312,51.7
"Rodriguez, Grayson",680570,BAL,CU,Curveball,0.1,0,291,15.5,51,0.26,0.38,0.285,24.1,19.6,14.5,0.263,0.397,0.295,32.5
"Domínguez, Seranthony",622554,BAL,SI,Sinker,-1.4,-3,189,17.8,51,0.333,0.467,0.46,9.5,3.9,8.0,0.298,0.548,0.405,46.5
"Uceta, Edwin",670955,TB,FF,4-Seam Fastball,2.5,7,269,40.0,51,0.133,0.178,0.192,36.9,45.1,25.6,0.122,0.193,0.191,34.8
"Ashcraft, Graham",668933,CIN,SI,Sinker,-2.5,-5,201,15.0,51,0.319,0.511,0.401,9.5,5.9,7.3,0.267,0.462,0.343,47.7
"Hendricks, Kyle",543294,CHC,CU,Curveball,1.3,3,279,13.1,51,0.22,0.3,0.236,24.4,27.5,15.6,0.257,0.384,0.287,33.3
"Rosenberg, Kenny",670046,LAA,FF,4-Seam Fastball,-1.6,-3,196,48.6,51,0.341,0.568,0.431,19.0,9.8,10.0,0.323,0.613,0.439,48.7
"Keuchel, Dallas",572971,MIL,SI,Sinker,-2.0,-4,175,56.8,51,0.422,0.667,0.491,15.2,9.8,16.7,0.347,0.518,0.4,43.9
"Domínguez, Seranthony",622554,BAL,SL,Slider,-1.8,-4,232,21.8,51,0.25,0.708,0.396,33.9,23.5,14.5,0.224,0.531,0.331,37.8
"Voth, Austin",608723,SEA,CU,Curveball,1.5,3,183,18.8,51,0.12,0.2,0.148,47.7,43.1,25.3,0.162,0.274,0.198,25.0
"Lovelady, Richard",663992,TB,SI,Sinker,-0.3,0,181,34.3,50,0.286,0.357,0.349,13.3,10.0,13.2,0.257,0.313,0.327,40.5
"Ferguson, Caleb",657571,HOU,SV,Slurve,0.3,1,190,20.2,50,0.265,0.286,0.291,32.2,30.0,25.4,0.211,0.265,0.219,20.6
"Hoeing, Bryan",663773,SD,FS,Split-Finger,3.3,5,161,20.6,50,0.1,0.16,0.112,38.5,44.0,27.2,0.183,0.304,0.209,25.0
"Miller, Bryce",682243,SEA,ST,Sweeper,0.5,1,233,8.5,50,0.245,0.408,0.288,17.9,12.0,11.8,0.247,0.384,0.284,27.9
"Kelly, Merrill",518876,AZ,SI,Sinker,-2.9,-5,158,13.8,50,0.378,0.644,0.462,9.1,18.0,16.7,0.382,0.63,0.459,44.4
"Vodnik, Victor",680767,COL,CH,Changeup,2.1,5,222,16.6,50,0.13,0.152,0.16,29.5,20.0,12.2,0.176,0.25,0.226,43.2
"López, Jorge",605347,CHC,FF,4-Seam Fastball,1.5,2,159,19.8,50,0.239,0.478,0.334,16.5,26.0,24.5,0.226,0.483,0.333,54.5
"Abbott, Andrew",671096,CIN,CU,Curveball,-1.5,-4,270,11.6,50,0.327,0.653,0.416,17.9,12.0,18.8,0.274,0.512,0.34,41.9
"Thompson, Keegan",624522,CHC,FF,4-Seam Fastball,0.1,0,202,37.5,50,0.195,0.439,0.36,27.0,24.0,20.0,0.202,0.479,0.36,41.4
"Crouse, Hans",668968,LAA,SI,Sinker,2.4,5,217,49.7,50,0.108,0.135,0.261,28.3,26.0,30.2,0.165,0.318,0.335,29.2
"Tinoco, Jesus",622786,MIA,SI,Sinker,1.6,3,195,30.3,50,0.289,0.333,0.306,12.7,8.0,10.5,0.302,0.403,0.353,36.6
"Booser, Cam",592155,BOS,ST,Sweeper,1.2,2,164,23.6,50,0.196,0.283,0.205,32.6,28.0,20.0,0.186,0.314,0.229,22.9
"Yarbrough, Ryan",642232,TOR,FF,4-Seam Fastball,-0.2,-1,265,17.5,50,0.2,0.375,0.328,22.2,24.0,15.4,0.225,0.417,0.352,34.5
"Payamps, Joel",606303,MIL,ST,Sweeper,-2.0,-4,181,20.1,49,0.286,0.5,0.384,24.7,16.3,14.0,0.272,0.509,0.38,38.9
"Toussaint, Touki",657053,CWS,FS,Split-Finger,-4.0,-7,183,37.3,49,0.366,0.512,0.452,24.7,18.4,17.3,0.237,0.312,0.315,37.5
"Peralta, Freddy",642547,MIL,CU,Curveball,0.5,1,225,7.3,49,0.2,0.356,0.274,37.2,38.8,23.2,0.174,0.269,0.234,19.2
"Marte, Yunior",628708,PHI,SL,Slider,-2.0,-4,201,41.7,49,0.341,0.614,0.44,23.5,10.2,9.4,0.346,0.61,0.437,47.5
"Montero, Rafael",606160,HOU,FF,4-Seam Fastball,-1.1,-3,310,45.4,49,0.238,0.619,0.403,25.0,16.3,8.7,0.238,0.523,0.374,50.0
"Cabrera, Edward",665795,MIA,SI,Sinker,-2.3,-4,164,9.5,49,0.279,0.442,0.422,14.3,10.2,23.8,0.335,0.474,0.396,34.2
"Singer, Brady",663903,KC,FF,4-Seam Fastball,-2.2,-7,327,11.0,49,0.326,0.609,0.427,19.3,10.2,6.8,0.334,0.645,0.425,45.2
"Sears, JP",676664,ATH,SL,Slider,-0.6,-2,241,8.4,49,0.217,0.565,0.338,28.7,20.4,18.2,0.221,0.578,0.348,45.9
"Montero, Rafael",606160,HOU,CH,Changeup,-1.6,-3,159,23.3,49,0.273,0.409,0.34,12.2,8.2,7.4,0.331,0.553,0.402,34.1
"Morgan, Eli",669212,CLE,CH,Changeup,2.2,3,153,23.7,49,0.188,0.313,0.223,23.7,20.4,15.4,0.218,0.3,0.237,21.1
"Black, Mason",696131,SF,SI,Sinker,-0.5,-1,194,29.3,49,0.326,0.535,0.402,9.0,16.3,21.1,0.258,0.451,0.344,47.2
"Kimbrel, Craig",518886,BAL,CU,Curveball,0.1,0,278,28.9,49,0.261,0.283,0.274,34.0,22.4,23.9,0.248,0.363,0.287,36.1
"Birdsong, Hayden",806185,SF,SL,Slider,-0.4,-1,254,18.3,49,0.244,0.512,0.38,49.1,36.7,30.0,0.176,0.329,0.294,52.2
"Banks, Tanner",621383,PHI,ST,Sweeper,1.4,2,174,14.8,49,0.196,0.261,0.238,27.9,28.6,24.6,0.156,0.206,0.191,14.7
"Irvin, Jake",663623,WSH,FC,Cutter,-0.2,0,200,6.6,49,0.283,0.522,0.362,20.2,8.2,8.9,0.294,0.589,0.393,45.2
"Detmers, Reid",672282,LAA,CU,Curveball,-3.4,-8,227,14.6,49,0.37,0.804,0.503,21.6,26.5,25.5,0.275,0.445,0.335,33.3
"Roycroft, Chris",688297,STL,FF,4-Seam Fastball,2.0,4,194,32.6,49,0.158,0.184,0.232,33.0,36.7,23.4,0.134,0.164,0.218,13.0
"Phillips, Tyler",663969,PHI,ST,Sweeper,-2.7,-5,169,29.2,49,0.311,0.511,0.381,32.9,24.5,21.4,0.236,0.414,0.311,36.4
"Eflin, Zach",621107,BAL,CH,Changeup,0.6,1,148,6.0,49,0.188,0.354,0.248,10.5,2.0,2.6,0.256,0.423,0.294,25.0
"Blackburn, Paul",621112,NYM,SI,Sinker,-3.9,-6,165,13.6,49,0.478,0.674,0.512,9.5,14.3,16.7,0.339,0.468,0.375,30.8
"Hendricks, Kyle",543294,CHC,FF,4-Seam Fastball,-1.8,-5,272,12.7,49,0.237,0.553,0.411,20.9,24.5,14.6,0.228,0.58,0.416,53.8
"Sandoval, Patrick",663776,LAA,FF,4-Seam Fastball,-2.4,-6,230,15.9,49,0.39,0.537,0.452,15.3,14.3,11.1,0.273,0.523,0.399,44.1
"Brown, Hunter",686613,HOU,SL,Slider,1.7,3,199,6.9,49,0.178,0.2,0.23,22.6,26.5,20.6,0.189,0.237,0.229,34.4
"Estévez, Carlos",608032,PHI,SL,Slider,2.0,5,231,28.1,48,0.196,0.37,0.243,26.8,22.9,17.7,0.197,0.283,0.22,27.8
"Miller, Shelby",571946,DET,FS,Split-Finger,-2.0,-3,160,18.8,48,0.239,0.457,0.352,27.7,22.9,21.2,0.221,0.392,0.269,33.3
"Lugo, Seth",607625,KC,CH,Changeup,0.1,0,207,6.7,48,0.2,0.333,0.295,30.3,22.9,21.2,0.24,0.432,0.316,32.4
"Freeland, Kyle",607536,COL,CH,Changeup,-1.7,-4,206,11.6,48,0.333,0.6,0.416,17.3,4.2,8.3,0.352,0.726,0.47,39.5
"Tonkin, Michael",543859,MIN,SI,Sinker,0.9,2,244,17.2,48,0.326,0.442,0.372,17.5,4.2,13.3,0.387,0.493,0.423,24.4
"Mayza, Tim",641835,NYY,SL,Slider,-1.6,-3,187,25.6,48,0.233,0.372,0.291,17.9,18.8,10.1,0.226,0.456,0.316,37.1
"Skenes, Paul",694973,PIT,ST,Sweeper,2.2,5,212,10.0,48,0.104,0.188,0.143,22.6,45.8,21.4,0.118,0.227,0.147,26.9
