"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Gausman, Kevin",592332,CHC,FF,4-Seam Fastball,0.8,11,1442,51.4,394,0.29,0.443,0.346,15.3,19.5,19.1,0.279,0.451,0.34,46.6
"Singer, Brady",663903,CIN,SI,Sinker,-0.2,-3,1277,50.1,356,0.273,0.414,0.36,16.1,17.7,18.3,0.278,0.433,0.359,46.3
"Misiorowski, Jacob",694819,MIL,FF,4-Seam Fastball,1.6,25,1549,63.1,353,0.174,0.268,0.25,40.9,44.2,33.7,0.165,0.255,0.232,38.9
"Sánchez, Cristopher",650911,PHI,SI,Sinker,-0.1,-1,1249,43.6,346,0.339,0.488,0.393,12.1,13.9,18.7,0.312,0.493,0.367,51.8
"Abbott, Andrew",671096,CIN,FF,4-Seam Fastball,-0.8,-10,1194,44.9,343,0.265,0.47,0.39,12.1,14.6,13.9,0.296,0.516,0.403,49.2
"Peralta, Freddy",642547,TB,FF,4-Seam Fastball,-0.3,-4,1417,52.8,339,0.278,0.464,0.368,21.7,17.7,16.2,0.262,0.429,0.342,49.4
"Bradley, Taj",671737,MIN,FF,4-Seam Fastball,0.5,7,1306,46.7,336,0.232,0.407,0.346,17.3,19.0,19.3,0.271,0.482,0.382,52.5
"Valdez, Framber",664285,DET,SI,Sinker,0.4,5,1152,44.5,332,0.311,0.415,0.365,10.2,6.9,14.2,0.316,0.464,0.375,49.1
"Burns, Chase",695505,CIN,FF,4-Seam Fastball,0.5,6,1361,55.6,326,0.249,0.407,0.34,16.8,16.0,14.2,0.24,0.411,0.329,38.9
"Gore, MacKenzie",669022,TEX,FF,4-Seam Fastball,0.8,10,1312,47.0,319,0.258,0.4,0.333,22.4,21.0,19.9,0.247,0.368,0.317,39.2
"Detmers, Reid",672282,LAA,FF,4-Seam Fastball,0.4,5,1225,45.5,317,0.236,0.396,0.307,21.6,22.1,17.5,0.235,0.415,0.312,46.8
"Sánchez, Cristopher",650911,PHI,CH,Changeup,1.2,13,1076,37.6,299,0.181,0.255,0.218,45.7,37.8,28.4,0.165,0.225,0.196,28.1
"Schlittler, Cam",693645,NYY,FF,4-Seam Fastball,1.9,24,1227,44.2,288,0.17,0.273,0.231,34.5,39.9,27.4,0.17,0.291,0.231,42.5
"McLean, Nolan",690997,NYM,SI,Sinker,2.8,26,933,33.9,286,0.184,0.263,0.248,13.1,23.8,29.7,0.22,0.311,0.274,35.8
"Chandler, Bubba",696149,PIT,FF,4-Seam Fastball,-0.1,-1,1173,48.3,284,0.229,0.383,0.332,22.3,20.8,16.1,0.234,0.393,0.33,41.5
