"last_name, first_name",pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin
"Burns, Chase",695505,2632.0,2522.0,,2772.0,1838.0,2717.0,,,,
"Rogers, Trevor",669432,2474.0,2359.0,2223.0,,1589.0,,,,2125.0,
"Chandler, Bubba",696149,2402.0,2274.0,,2402.0,1991.0,2375.0,,,2499.0,
"Warren, Will",701542,2539.0,2398.0,,2597.0,1666.0,2814.0,,,2997.0,
"Ashcraft, Braxton",677952,2347.0,2309.0,,2595.0,,2731.0,1903.0,,,
"Webb, Logan",657277,2081.0,1947.0,2312.0,,1475.0,,,,2604.0,
"Woo, Bryan",693433,2268.0,2270.0,,2210.0,1959.0,2295.0,,,2482.0,
"Lambert, Peter",663567,2304.0,2181.0,2330.0,2635.0,1559.0,2635.0,,,2729.0,2607.0
"Pallante, Andre",669467,2216.0,2098.0,,2309.0,,2765.0,1000.0,,,
"Pérez, Eury",691587,2679.0,2635.0,,2438.0,1677.0,2734.0,,,2523.0,
"Wheeler, Zack",554430,2434.0,2293.0,2534.0,,,2838.0,1567.0,,2766.0,
"Buehler, Walker",621111,2171.0,2088.0,2369.0,2451.0,1221.0,2470.0,,,2649.0,
"Lorenzen, Michael",547179,2403.0,2252.0,2511.0,2538.0,2088.0,2533.0,,,2558.0,
"Springs, Jeffrey",605488,2148.0,,2193.0,2272.0,1381.0,,,,2282.0,
"Martinez, Nick",607259,2265.0,2296.0,2325.0,2403.0,1864.0,2512.0,,,,
"Gray, Sonny",543243,2481.0,2363.0,2630.0,,1748.0,2605.0,,,2686.0,
"Rocker, Kumar",677958,2157.0,2141.0,2160.0,2183.0,1635.0,,1602.0,,,
"Weathers, Ryan",677960,2383.0,2283.0,,2651.0,1950.0,,,,2625.0,
"Castillo, Luis",622491,2271.0,2078.0,2070.0,2237.0,1968.0,,,,,
"Sugano, Tomoyuki",608372,2417.0,2302.0,2490.0,2596.0,,2699.0,1651.0,,2585.0,
"Fedde, Erick",607200,2106.0,2063.0,2147.0,,1847.0,,,,2532.0,
"Young, Brandon",687064,2239.0,1868.0,,2049.0,,2713.0,1428.0,,,
"Elder, Bryce",693821,2233.0,2087.0,2209.0,2451.0,1568.0,,,,,
"May, Dustin",669160,2334.0,2369.0,2457.0,,1621.0,3107.0,,,3158.0,
"Manaea, Sean",640455,2052.0,2054.0,2133.0,,1570.0,,,,2271.0,
"Peterson, David",656849,2160.0,2125.0,,2268.0,1581.0,2415.0,,,,
"Ureña, Walbert",700712,2258.0,2180.0,,,1737.0,,,,2471.0,
"Leahy, Kyle",681517,2178.0,2186.0,,2314.0,1454.0,2313.0,,,2632.0,
"Rea, Colin",607067,2173.0,2126.0,2183.0,2126.0,1390.0,2189.0,,,2438.0,
"Ginn, J.T.",669372,2039.0,1972.0,2145.0,2308.0,1509.0,2382.0,,,,
"Hancock, Emerson",676106,2356.0,2357.0,2299.0,,1531.0,2578.0,,,2613.0,
"Holmes, Grant",656550,2324.0,2245.0,2433.0,2728.0,1593.0,2774.0,,,,
"Montero, Keider",672456,2230.0,2233.0,,2573.0,1993.0,2870.0,,,,
"Ryan, Joe",657746,2286.0,2175.0,,2321.0,,2765.0,2136.0,,2767.0,
"Martin, Davis",663436,2411.0,2398.0,2575.0,2605.0,2123.0,2875.0,,,,
"Mahle, Tyler",641816,2304.0,2294.0,2436.0,2492.0,,,1629.0,,,
"Skubal, Tarik",669373,2332.0,2194.0,,2209.0,1846.0,2546.0,,,,
"Suarez, Ranger",624133,2033.0,1992.0,2108.0,2258.0,1259.0,2208.0,,,,
"Tolle, Payton",801139,2265.0,2267.0,2365.0,,1008.0,2435.0,,,,
"Pérez, Martín",527048,2104.0,1994.0,2242.0,,1637.0,2414.0,,,,
"Lowder, Rhett",695076,2266.0,2261.0,,2789.0,1947.0,3100.0,,,2835.0,
"Vásquez, Randy",681190,2434.0,2394.0,2701.0,2979.0,2007.0,3108.0,,,3110.0,
"Sasaki, Roki",808963,2279.0,,,2049.0,,,911.0,,,
"Wrobleski, Justin",680736,2457.0,2203.0,2516.0,2455.0,1514.0,2228.0,936.0,,2644.0,
"Eovaldi, Nathan",543135,2180.0,2128.0,2242.0,2095.0,,1892.0,1548.0,,,
"Freeland, Kyle",607536,2378.0,2317.0,2373.0,,1641.0,2365.0,,,2322.0,
"Lopez, Jacob",682052,2200.0,2065.0,2225.0,2387.0,2118.0,,,,,
"Harrison, Kyle",690986,2366.0,2287.0,,,1283.0,,,,,2161.0
"Littell, Zack",641793,2016.0,1958.0,,2111.0,,,1146.0,,2182.0,
"Cecconi, Slade",677944,2372.0,2273.0,2247.0,2535.0,1425.0,2421.0,1016.0,,2506.0,
"Mlodzinski, Carmen",669387,2106.0,2052.0,2419.0,2361.0,,2609.0,1691.0,,2566.0,
"Matthews, Zebby",805673,2291.0,2315.0,2481.0,2377.0,1525.0,2359.0,,,,
"Seymour, Ian",693855,2167.0,1967.0,2107.0,2118.0,1626.0,1942.0,,,2177.0,
"Keller, Mitch",656605,2364.0,2374.0,2489.0,2524.0,1540.0,2648.0,,,2698.0,
"Ober, Bailey",641927,2249.0,2107.0,,2085.0,2059.0,2115.0,,,2215.0,
"Mize, Casey",663554,2250.0,2299.0,,2236.0,,,1515.0,,,2545.0
"Feltner, Ryan",663372,2374.0,2323.0,,2517.0,1609.0,2656.0,,,2634.0,
"Painter, Andrew",691725,2305.0,2176.0,,2577.0,1725.0,2649.0,1593.0,,2668.0,
"Phillips, Tyler",663969,2198.0,2054.0,,2290.0,,2561.0,1229.0,,2489.0,
"Drohan, Shane",675660,2442.0,2388.0,2681.0,2857.0,1640.0,2883.0,,,,
"McClanahan, Shane",663556,2221.0,,,2359.0,1551.0,2508.0,,,,
"Mikolas, Miles",571945,2220.0,2137.0,,2233.0,1568.0,2517.0,,,2402.0,
"Prielipp, Connor",687570,2272.0,2272.0,,2915.0,1911.0,3233.0,,,,
"Lauer, Eric",641778,2188.0,,2394.0,2373.0,1393.0,2432.0,,,,
"Perkins, Jack",678022,2237.0,2271.0,2481.0,2755.0,1180.0,,,,2768.0,
"Scott, Christian",681035,2297.0,2170.0,2417.0,2454.0,,2678.0,1073.0,,2516.0,
"Arrighetti, Spencer",681293,2333.0,2289.0,2333.0,2672.0,1454.0,2827.0,,,2760.0,
"Meyer, Max",676974,2614.0,2454.0,,2691.0,1592.0,,,,2799.0,
"Sheehan, Emmet",686218,2444.0,,,2377.0,1279.0,2622.0,,,,
"Pfaadt, Brandon",694297,2496.0,2341.0,2633.0,,2104.0,2505.0,,,2765.0,
"Junk, Janson",676083,2335.0,2247.0,,2439.0,1404.0,2502.0,,,2415.0,
"Civale, Aaron",650644,2404.0,2284.0,2658.0,2848.0,,3056.0,1929.0,,,
"Bello, Brayan",678394,2009.0,2004.0,2326.0,,1753.0,2439.0,,,2320.0,
"Houser, Adrian",605288,2283.0,2206.0,,2414.0,1541.0,1929.0,,,,
"Sproat, Brandon",687075,2050.0,1990.0,2144.0,,1702.0,2529.0,,,2519.0,
"Jump, Gage",695611,2365.0,2274.0,,2339.0,1407.0,2619.0,,,2529.0,
"Boyd, Matthew",571510,2308.0,2314.0,,2539.0,1771.0,2415.0,,,,
"Gallen, Zac",668678,2309.0,2177.0,,2347.0,1541.0,2433.0,,,,
"Irvin, Jake",663623,2310.0,2263.0,2355.0,,2115.0,2544.0,,,2533.0,
"Cole, Gerrit",543037,2322.0,2319.0,2345.0,2490.0,1935.0,2816.0,,,,
"Flaherty, Jack",656427,2256.0,2062.0,,2440.0,1816.0,2402.0,,,,
"Patrick, Chad",694477,2338.0,2151.0,2469.0,,1967.0,,,,,2427.0
"Melton, Troy",675512,2265.0,2134.0,2329.0,2426.0,1303.0,2467.0,,,,
"Lodolo, Nick",666157,2276.0,2301.0,,,1887.0,2589.0,,,,
"Miller, Bryce",682243,2513.0,2418.0,2595.0,2473.0,,2341.0,1121.0,,2394.0,
"Anderson, Drew",623454,2264.0,2094.0,,2580.0,1513.0,2713.0,,,,
"Brown, Hunter",686613,2239.0,2140.0,,2239.0,1466.0,2540.0,,,,
"Soroka, Michael",647336,2525.0,2353.0,2614.0,,2213.0,,,,2884.0,2912.0
"Quantrill, Cal",615698,2133.0,2094.0,2273.0,2313.0,,2408.0,1039.0,,,
"Burrows, Mike",681347,2277.0,2166.0,,2527.0,1483.0,2910.0,,,,
"Alvarez, Andrew",674841,2321.0,2279.0,,2666.0,1820.0,2724.0,,,,
"Yesavage, Trey",702056,2251.0,,,2262.0,,,1394.0,,,
"Bassitt, Chris",605135,2153.0,2115.0,2148.0,2457.0,1806.0,2325.0,,,2392.0,
"Gasser, Robert",688107,2234.0,2106.0,2420.0,2537.0,1980.0,,,,2464.0,
"Jax, Griffin",643377,2532.0,2527.0,2681.0,,1874.0,3016.0,,,3020.0,
"Early, Connelly",813349,2336.0,2167.0,,2303.0,1269.0,2405.0,,,2415.0,
"Blubaugh, AJ",805123,2265.0,,2376.0,,2353.0,2372.0,,,2621.0,
"Fried, Max",608331,2111.0,2064.0,2280.0,2309.0,1643.0,2799.0,,,2743.0,
"Rodriguez, Grayson",680570,2261.0,,,2386.0,1756.0,2657.0,,,,
"Bennett, Jake",687562,2154.0,2044.0,2063.0,,1985.0,2219.0,,,2234.0,
"Johnson, Ryan",696270,,2233.0,2500.0,2619.0,,,1876.0,,2441.0,
"Taillon, Jameson",592791,2342.0,2252.0,2524.0,2457.0,1827.0,2568.0,,,2748.0,
"Suter, Brent",608718,2193.0,2129.0,,2235.0,1543.0,,,,,
"Ashby, Aaron",676879,2225.0,2094.0,,2534.0,1798.0,2725.0,,,,
"Gordon, Tanner",685299,2232.0,2072.0,2033.0,2081.0,2099.0,2262.0,,,,
"Corbin, Patrick",571578,2137.0,2049.0,2261.0,2199.0,1204.0,1894.0,,,,
"Assad, Javier",665871,2140.0,2028.0,2151.0,2214.0,1366.0,2496.0,,,2473.0,
"Canning, Griffin",656288,2187.0,2116.0,2459.0,2776.0,1492.0,2546.0,,,2827.0,
"Jones, Jared",683003,2541.0,,,2700.0,1632.0,2944.0,,,,
"Imai, Tatsuya",837227,1999.0,1952.0,,2275.0,1960.0,2470.0,1251.0,,,
"Leiter, Jack",683004,2435.0,2387.0,2456.0,2639.0,1560.0,2754.0,,,,
"Lord, Brad",695418,2450.0,2330.0,,2572.0,1964.0,,,,2694.0,
"Agnos, Zach",688642,2360.0,2261.0,2347.0,2314.0,,,1440.0,,2471.0,
"Miles, Spencer",693686,2230.0,2273.0,,2535.0,1719.0,2860.0,,,,
"Holmes, Clay",605280,2211.0,2119.0,2586.0,,830.0,2948.0,,,2823.0,
"Ohtani, Shohei",660271,2488.0,2217.0,2376.0,2593.0,,2651.0,1564.0,,2726.0,
"Henderson, Logan",701656,2329.0,,2373.0,,2555.0,,,,2364.0,
"Newcomb, Sean",656794,2261.0,2259.0,2513.0,,1493.0,2939.0,,,,2851.0
"López, Reynaldo",625643,2064.0,,,2311.0,1593.0,2285.0,,,,
"Bachar, Lake",669199,2709.0,2679.0,,2687.0,,2884.0,1659.0,,3067.0,
"Ramírez, Yohan",670990,2354.0,2250.0,,,2043.0,2453.0,,,2660.0,
"Avila, Luinder",679883,2490.0,2413.0,,2702.0,2065.0,2717.0,,,,
"Nelson, Ryne",669194,2287.0,2116.0,2220.0,2390.0,,2654.0,,,,
"Cabrera, Edward",665795,2254.0,2234.0,,2402.0,1740.0,2487.0,,,,
"Gusto, Ryan",687473,2400.0,2202.0,2371.0,2374.0,1271.0,2512.0,,,2540.0,
"Teng, Kai-Wei",678906,2471.0,2408.0,,2677.0,1642.0,2622.0,,,2732.0,
"Matz, Steven",571927,,2195.0,2082.0,2308.0,2348.0,2269.0,,,,
"Rodón, Carlos",607074,2372.0,2259.0,,2642.0,1636.0,2780.0,,,,
"Morejon, Adrian",670970,2446.0,2405.0,,2892.0,1043.0,,,,,
"Harris, Hogan",663687,2331.0,,2272.0,2086.0,2138.0,2655.0,,,,2554.0
"Bruihl, Justin",677865,2255.0,2170.0,2426.0,,1430.0,,,,2548.0,
"Kremer, Dean",665152,2296.0,2142.0,2391.0,2634.0,,2813.0,1297.0,,,
"Headrick, Brent",687396,2310.0,2357.0,,2032.0,,,1007.0,,,
"Taylor, Grant",691799,2336.0,2295.0,2593.0,2618.0,,2507.0,,,,
"Fisher, Braydon",680755,2205.0,1993.0,2159.0,2291.0,,2488.0,,,,
"Scherzer, Max",453286,2330.0,,2566.0,2424.0,1359.0,2704.0,,,,
"Medina, Luis",665622,2404.0,2408.0,,2554.0,1632.0,2593.0,,,,
"Zeferjahn, Ryan",666171,2276.0,2057.0,,2533.0,,2725.0,,,2679.0,
"Mejia, Juan",675848,2462.0,2490.0,,2860.0,2062.0,,,,2867.0,
"Woods Richardson, Simeon",680573,2204.0,2164.0,,2211.0,,2586.0,1139.0,,,
"Blackburn, Paul",621112,2261.0,2033.0,2470.0,2601.0,1792.0,2710.0,,,2752.0,
"Morris, Andrew",702193,2056.0,2035.0,2304.0,,1497.0,2255.0,,,2444.0,
"Varland, Louis",686973,2273.0,2133.0,,2495.0,1707.0,2551.0,,,,
"Schultz, Noah",702273,2467.0,2459.0,2640.0,,1986.0,2681.0,,,2819.0,
"Richards, Trevor",670950,2259.0,2182.0,,2159.0,2561.0,,,,,
"McDonald, Trevor",686790,2249.0,2279.0,2424.0,2743.0,1614.0,,,,,
"Smith, Cade",671922,2364.0,,,,,,582.0,,2165.0,
"Hoffman, Jeff",656546,2535.0,2450.0,,2786.0,,,1726.0,,,
"Burke, Brock",656271,2314.0,2149.0,,2267.0,2102.0,,,,,
"Peralta, Wandy",593974,2138.0,2060.0,,2164.0,2177.0,,,,,
"Fuentes, Didier",800311,2101.0,,,2464.0,,2491.0,1941.0,,,
"Kochanowicz, Jack",686799,2285.0,2138.0,,2824.0,2167.0,,,,,
"Graceffo, Gordon",700669,2047.0,1983.0,2372.0,2407.0,1249.0,2753.0,,,,
"Severino, Luis",622663,2251.0,2125.0,2300.0,2579.0,1532.0,,,,2602.0,
"Holton, Tyler",663947,2184.0,2075.0,2394.0,,1476.0,2788.0,,,2795.0,
"Lynch IV, Daniel",663738,2298.0,2160.0,,2300.0,1526.0,2249.0,,,,
"Moll, Sam",594580,2608.0,2458.0,,,1698.0,,,,2845.0,
"De Los Santos, Enyel",660853,2255.0,,,2143.0,1898.0,,,,,
"Senzatela, Antonio",622608,2310.0,2213.0,2272.0,2418.0,2255.0,2508.0,,,,
"Watson, Ryan",670245,2217.0,2174.0,2064.0,,,2252.0,1342.0,,2123.0,
"Suarez, José",660761,2367.0,2195.0,2475.0,2838.0,1605.0,,,,2838.0,
"Soriano, George",666277,2134.0,2204.0,,2574.0,1557.0,,,,2838.0,
"Dobnak, Randy",677976,2046.0,1954.0,,2228.0,1494.0,,,,2513.0,
"Rodriguez, Bradgley",699134,2421.0,2281.0,,2558.0,1800.0,,,,,
"Bednar, David",670280,2345.0,,,,,2409.0,1650.0,,,
"Bazardo, Eduard",660825,2097.0,2201.0,,,,,1714.0,,2636.0,
"Alexander, Tyler",641302,2227.0,2106.0,2365.0,,1478.0,2398.0,,,2521.0,
"Wells, Tyler",669330,2417.0,,2447.0,2459.0,2215.0,2611.0,,,,
"Faucher, Calvin",676534,2412.0,2288.0,2749.0,2903.0,,3047.0,,,3055.0,
"Webb, Jacob",657097,2473.0,,,2603.0,2282.0,2593.0,,,2652.0,
"Okert, Steven",595345,2241.0,2245.0,,2419.0,2086.0,,,,,
"Montgomery, Mason",682254,2220.0,2203.0,,2641.0,1663.0,2688.0,,,,
"Senga, Kodai",673540,2375.0,2229.0,2426.0,2543.0,,2296.0,,,2578.0,
"Marinaccio, Ron",676760,2181.0,,2203.0,,2219.0,,,,2422.0,
"Abreu, Bryan",650556,2228.0,,2444.0,2831.0,1689.0,,,,,
"Lange, Alex",656638,2290.0,2154.0,2294.0,2278.0,1801.0,,,,,
"Miller, Mason",695243,2515.0,2681.0,,2405.0,2160.0,,,,,
"Soto, Gregory",642397,2334.0,2311.0,,2583.0,,,2038.0,,2581.0,
"Ritchie, JR",702275,2353.0,2309.0,2475.0,2563.0,1680.0,2634.0,,,,
"Alvarado, José",621237,1997.0,2023.0,2120.0,,,2338.0,,,,
"Finnegan, Kyle",640448,2223.0,,,2176.0,,,1069.0,,,
"Festa, Matt",670036,2532.0,2412.0,2505.0,,,,,,2702.0,
"Paddack, Chris",663978,2209.0,2089.0,2017.0,2078.0,1687.0,2143.0,,,2321.0,
"Gómez, Yoendrys",672782,2483.0,2366.0,2529.0,,1824.0,,,,2760.0,
"Legumina, Casey",668984,2361.0,2295.0,,2593.0,1509.0,,,,2686.0,
"Domínguez, Seranthony",622554,2334.0,2244.0,,,,2318.0,963.0,,2458.0,
"Stanek, Ryne",592773,2331.0,2163.0,,2459.0,,,1216.0,,2495.0,
"Thornton, Zac",804267,2279.0,2302.0,2408.0,2392.0,1819.0,2422.0,,,2472.0,
"Morán, Jovani",663558,2363.0,2374.0,2565.0,,1771.0,2704.0,,,2728.0,
"Brown, Ben",676962,2208.0,2149.0,,,1290.0,2307.0,,,,
"Latz, Jacob",656641,2333.0,,,2561.0,2068.0,2769.0,,,,
"Kerkering, Orion",689147,2346.0,2282.0,,,,,1700.0,,2923.0,
"Brubaker, JT",664141,2104.0,2220.0,,2570.0,2039.0,2700.0,,,,
"Hart, Kyle",606996,2269.0,2148.0,,2427.0,,,1119.0,,2748.0,
"Silseth, Chase",681217,2404.0,2331.0,,,,,1067.0,,2863.0,
"Lee, Dylan",669276,2376.0,,,2151.0,1644.0,,,,,
"O'Brien, Riley",676617,,2198.0,,2449.0,1908.0,,,,2322.0,
"Ferrer, José A.",678606,2293.0,2140.0,,2454.0,2273.0,,,,,
"Ginkel, Kevin",656464,2405.0,2270.0,,2393.0,,,,,,
"Petersen, Michael",656848,2354.0,2435.0,,2378.0,1132.0,,,,,
"Brazobán, Huascar",623211,2242.0,2284.0,2293.0,2320.0,2056.0,,,,,
"Mayza, Tim",641835,2051.0,2047.0,,2222.0,,,1589.0,,,
"Javier, Cristian",664299,2194.0,2293.0,2306.0,2499.0,2311.0,2979.0,,,2537.0,
"Hughes, Gabriel",687312,2211.0,2055.0,,2273.0,1483.0,2504.0,,,2309.0,
"Matsui, Yuki",673513,2446.0,2129.0,,2720.0,,,1165.0,,2878.0,
"Hudson, Bryan",663542,2200.0,2188.0,2120.0,,,,,,2085.0,
"King, Bryan",687911,2104.0,1986.0,,,1598.0,2435.0,,,2243.0,
"Doval, Camilo",666808,,2530.0,2559.0,2691.0,1833.0,,,,,
"Fluharty, Mason",689254,,,2640.0,,1851.0,,,,2674.0,
"Morillo, Juan",666661,2252.0,2192.0,,2744.0,2275.0,,,,,
"Sandoval, Patrick",663776,2077.0,2060.0,,2557.0,1718.0,2711.0,,,2653.0,
"Rogers, Tyler",643511,,1981.0,,2439.0,,,,,,
"Henriquez, Edgardo",683618,2539.0,2486.0,2669.0,2718.0,,2894.0,,,,
"Cruz, Fernando",518585,2241.0,2080.0,,,,,724.0,,2563.0,
"Rogers, Taylor",573124,,2164.0,2350.0,2545.0,,,,,2823.0,
"Clarke, Taylor",664199,2289.0,2214.0,2260.0,2220.0,1743.0,,,,,
"Bowlan, Jonathan",680742,2414.0,2300.0,,2491.0,1583.0,2518.0,,,2592.0,
"Dobbins, Hunter",690928,2378.0,2206.0,,2640.0,,2582.0,2185.0,,2736.0,
"Bieber, Shane",669456,2372.0,2304.0,2580.0,2599.0,1419.0,2509.0,,,,
"Gray, Peyton",682608,2323.0,,,2552.0,1794.0,,,,,
"Garcia, Rico",670329,2514.0,,,2423.0,2365.0,2454.0,,,,
"Dreyer, Jack",676263,2469.0,,,2398.0,,2551.0,,,,
"Kikuchi, Yusei",579328,2252.0,,2305.0,2413.0,,2600.0,1632.0,,,
"Schreiber, John",670167,2271.0,2227.0,2459.0,,1228.0,,,,2668.0,
"Fermin, José",820862,2280.0,2327.0,,2527.0,2124.0,,,,,
"Márquez, Germán",608566,2167.0,2142.0,,2331.0,1611.0,2603.0,,,,
"Weissert, Greg",669711,2283.0,2129.0,,2545.0,1624.0,2634.0,,,2889.0,
"Kelly, Kevin",687330,2115.0,2042.0,2259.0,,1879.0,,,,2553.0,
"Anderson, Grant",681982,2413.0,2278.0,,,1622.0,,,,2618.0,
"Suárez, Albert",544150,2318.0,,2176.0,,2027.0,2270.0,,,,2268.0
"Vesia, Alex",681911,2506.0,,,2382.0,1883.0,,,,,
"Bernardino, Brennan",657514,2143.0,2192.0,2343.0,,1470.0,2675.0,,,2429.0,
"Yarbrough, Ryan",642232,1927.0,1877.0,2063.0,,1941.0,,,,2249.0,
"Muñoz, Andrés",662253,2334.0,2200.0,,2383.0,1575.0,,,,,
"Baker, Bryan",641329,2289.0,,,2433.0,1848.0,,,,,
"Vodnik, Victor",680767,2264.0,2166.0,2313.0,2324.0,1877.0,,,,,2609.0
"Nunez, Anthony",689296,2615.0,2387.0,2541.0,,1179.0,,,,2915.0,
"Nance, Tommy",667297,1922.0,2236.0,,2577.0,,2829.0,,,,
"Cruz, Steven",674444,2201.0,,2138.0,2174.0,,,,,2317.0,
"Scott, Tanner",656945,2542.0,,,2650.0,,,,,,
"Miller, Erik",669062,2336.0,2345.0,,2562.0,1872.0,,,,,
"Rolison, Ryan",669020,2278.0,2204.0,,2533.0,1678.0,2669.0,,,2592.0,
"Glasnow, Tyler",607192,2537.0,2493.0,,2654.0,,2826.0,,,,
"Loáisiga, Jonathan",642528,2389.0,2300.0,2457.0,,1771.0,2640.0,,,,
"Herrin, Tim",682120,2354.0,2213.0,,2172.0,1200.0,2319.0,,,,
"Gaddis, Hunter",683769,2261.0,,,2289.0,2243.0,,790.0,,,
"Duran, Jhoan",661395,2076.0,,,,934.0,2655.0,1703.0,,2588.0,
"Holderman, Colin",670059,2413.0,2259.0,2438.0,,,2749.0,,,2583.0,
"Iglesias, Raisel",628452,2329.0,2342.0,,2693.0,1911.0,,,,,
"Santana, Dennis",642701,2430.0,2379.0,2553.0,2582.0,2318.0,,,,,
"Alvarado, Elvis",665660,2434.0,2445.0,,2094.0,,,1077.0,,,
"Hall, DL",669084,2183.0,2163.0,2455.0,2504.0,2135.0,2743.0,,,2674.0,
"Kolek, Stephen",663568,2242.0,2212.0,2418.0,2508.0,1489.0,,,,2571.0,
"Weaver, Luke",596133,2447.0,2193.0,2415.0,2519.0,1900.0,,,,,
"Herget, Jimmy",623474,2420.0,2415.0,,2643.0,1589.0,,,,2970.0,
"Erceg, Lucas",668674,2097.0,1874.0,2236.0,1999.0,1864.0,,,,,
"Sulser, Cole",642121,2382.0,,2339.0,,1695.0,,,,2601.0,
"Warren, Austin",681810,2390.0,2279.0,2485.0,,1870.0,2756.0,,,2764.0,
"Antone, Tejay",622088,2572.0,2599.0,2771.0,2747.0,,2858.0,,,2854.0,
"Uribe, Abner",682842,2336.0,2306.0,,2535.0,2571.0,,,,,
"Romero, JoJo",668941,2324.0,2206.0,,,1309.0,,,,2852.0,
"Farris, Mitch",815083,2169.0,,2109.0,2404.0,1689.0,,,,,
"Kinley, Tyler",641755,2377.0,2369.0,,2555.0,1674.0,2737.0,,,,
"Funderburk, Kody",681892,,2368.0,2312.0,2472.0,1880.0,,,,2498.0,
