"last_name, first_name",pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin
"Alcantara, Sandy",645261,2247.0,2291.0,2201.0,2339.0,2079.0,2400.0,,,2354.0,
"Sánchez, Cristopher",650911,,2124.0,,2065.0,2042.0,,,,,
"Luzardo, Jesús",666200,2227.0,2224.0,,,1665.0,,,,2444.0,
"Gausman, Kevin",592332,2292.0,,,2272.0,1420.0,,1580.0,,2477.0,
"Bradley, Taj",671737,2313.0,,2199.0,,,2412.0,1750.0,,,
"Gore, MacKenzie",669022,2243.0,2125.0,1928.0,2075.0,1973.0,2268.0,,,,
"Schlittler, Cam",693645,2533.0,2372.0,2587.0,2512.0,,2539.0,,,,
"Rodriguez, Eduardo",593958,2293.0,2240.0,2280.0,,1867.0,2303.0,,,,
"Nola, Aaron",605400,2356.0,2272.0,2300.0,2312.0,1559.0,2630.0,,,,
"McLean, Nolan",690997,2342.0,2225.0,2545.0,2956.0,1282.0,3364.0,,,3013.0,
"Baz, Shane",669358,2396.0,2276.0,2321.0,,1885.0,2626.0,,,,
"Gilbert, Logan",669302,2229.0,2023.0,2332.0,2116.0,1487.0,2342.0,692.0,,2372.0,
"Cease, Dylan",656302,2457.0,2391.0,,2706.0,1740.0,2671.0,,,2831.0,
"Wacha, Michael",608379,2154.0,2064.0,2156.0,2028.0,1530.0,2276.0,,,,
"Lugo, Seth",607625,2280.0,2341.0,2350.0,2674.0,1732.0,3105.0,,,2903.0,2907.0
"Cavalli, Cade",676917,2300.0,2150.0,2291.0,,1956.0,2249.0,,,2301.0,
"Messick, Parker",800048,2177.0,2064.0,2156.0,2374.0,1854.0,2287.0,,,,
"King, Michael",650633,2345.0,2251.0,,2513.0,1866.0,,,,2817.0,
"Soriano, José",667755,2178.0,1928.0,,2349.0,,2354.0,1621.0,,,
"Detmers, Reid",672282,2143.0,2095.0,,2445.0,1619.0,2523.0,,,,
"Williams, Gavin",668909,2300.0,2047.0,2227.0,,,2464.0,,,2298.0,
"Bibee, Tanner",676440,2158.0,2137.0,2672.0,,1866.0,2572.0,,,2624.0,
"Peralta, Freddy",642547,2421.0,,,2345.0,1955.0,2287.0,,,2501.0,
"Ray, Robbie",592662,2331.0,2226.0,,2214.0,1623.0,2168.0,,,,
"Griffin, Foster",656492,2089.0,2040.0,2244.0,,1860.0,2356.0,1332.0,,2530.0,
"Abbott, Andrew",671096,2340.0,,2620.0,,2008.0,2812.0,,,2860.0,
"Roupp, Landen",694738,2152.0,2063.0,2333.0,,1860.0,3079.0,,,,
"Skenes, Paul",694973,2171.0,2146.0,,2303.0,1828.0,2422.0,1639.0,,2329.0,
"Cameron, Noah",702070,2314.0,2248.0,2339.0,2486.0,1632.0,2293.0,,,,
"Imanaga, Shota",684007,2497.0,2461.0,,2477.0,,2512.0,1124.0,,2544.0,
"Burke, Sean",680732,2584.0,2404.0,2635.0,2524.0,1840.0,2454.0,,,,
"Valdez, Framber",664285,2192.0,2171.0,2285.0,2422.0,1648.0,2853.0,,,,
"Kay, Anthony",641743,2348.0,2263.0,2392.0,2562.0,1743.0,,,,2443.0,
"Bradish, Kyle",680694,2400.0,2190.0,,2610.0,1574.0,2652.0,,,,
"Kirby, George",669923,2267.0,2312.0,2307.0,,1615.0,2378.0,1055.0,,2387.0,
"Yamamoto, Yoshinobu",808967,2249.0,2307.0,2467.0,2770.0,,2813.0,1441.0,,,
"Singer, Brady",663903,2420.0,2353.0,2368.0,2414.0,,,,,2433.0,
"Cantillo, Joey",676282,1874.0,,2002.0,2325.0,1445.0,2660.0,,,,
"McGreevy, Michael",700241,2238.0,2191.0,2317.0,2397.0,1721.0,2522.0,,,2458.0,
"Sale, Chris",519242,2349.0,2211.0,,2526.0,1857.0,,,,,
"deGrom, Jacob",594798,2475.0,2330.0,,2649.0,1597.0,2739.0,,,,
"Rasmussen, Drew",656876,2504.0,2407.0,2634.0,,1219.0,2594.0,,,2473.0,
"Misiorowski, Jacob",694819,2633.0,,2586.0,2541.0,2037.0,2237.0,,,,
"Liberatore, Matthew",669461,2112.0,2132.0,2471.0,2669.0,1789.0,3054.0,873.0,,2721.0,
"Kelly, Merrill",518876,2365.0,2241.0,2365.0,2314.0,2164.0,2573.0,,,,
