player,nkey,mlbam_id,adp_hitter_rank,pts,final_hitter_rank,source
Ronald Acuña Jr.,ronald acuna,660670,1.0,251.0,299,"inferred (top ADP, not drafted)"
Julio Rodríguez,julio rodriguez,677594,2.0,650.0,49,"inferred (top ADP, not drafted)"
Mookie Betts,mookie betts,605141,3.0,601.0,72,"inferred (top ADP, not drafted)"
Bobby Witt Jr.,bobby witt,677951,4.0,962.0,3,"inferred (top ADP, not drafted)"
Corbin Carroll,corbin carroll,682998,5.0,781.0,12,"inferred (top ADP, not drafted)"
Kyle Tucker,kyle tucker,663656,6.0,445.0,157,"inferred (top ADP, not drafted)"
Freddie Freeman,freddie freeman,518692,7.0,692.0,29,"inferred (top ADP, not drafted)"
Juan Soto,juan soto,665742,8.0,903.0,5,"inferred (top ADP, not drafted)"
Fernando Tatis Jr.,fernando tatis,665487,9.0,498.0,125,"inferred (top ADP, not drafted)"
Aaron Judge,aaron judge,592450,10.0,1018.0,2,"inferred (top ADP, not drafted)"
Shohei Ohtani,shohei ohtani,660271,11.0,1136.0,1,"inferred (top ADP, not drafted)"
Matt Olson,matt olson,621566,12.0,672.0,37,"inferred (top ADP, not drafted)"
Trea Turner,trea turner,607208,13.0,609.0,64,"inferred (top ADP, not drafted)"
José Ramírez,jose ramirez,608070,14.0,907.0,4,"inferred (top ADP, not drafted)"
Yordan Alvarez,yordan alvarez,670541,15.0,759.0,15,"inferred (top ADP, not drafted)"
Bryce Harper,bryce harper,547180,16.0,712.0,23,"inferred (top ADP, not drafted)"
Austin Riley,austin riley,663586,17.0,456.0,151,"inferred (top ADP, not drafted)"
Rafael Devers,rafael devers,646240,18.0,651.0,47,"inferred (top ADP, not drafted)"
Ozzie Albies,ozzie albies,645277,19.0,419.0,173,"inferred (top ADP, not drafted)"
Pete Alonso,pete alonso,624413,20.0,689.0,30,"inferred (top ADP, not drafted)"
Francisco Lindor,francisco lindor,596019,21.0,819.0,9,"inferred (top ADP, not drafted)"
Corey Seager,corey seager,608369,22.0,569.0,89,"inferred (top ADP, not drafted)"
Marcus Semien,marcus semien,543760,23.0,667.0,38,"inferred (top ADP, not drafted)"
Elly De La Cruz,elly de la cruz,682829,24.0,879.0,7,"inferred (top ADP, not drafted)"
Vladimir Guerrero Jr.,vladimir guerrero,665489,25.0,806.0,10,"inferred (top ADP, not drafted)"
Gunnar Henderson,gunnar henderson,683002,26.0,843.0,8,"inferred (top ADP, not drafted)"
Luis Robert Jr.,luis robert,673357,27.0,418.0,174,"inferred (top ADP, not drafted)"
Michael Harris II,michael harris,671739,28.0,463.0,146,"inferred (top ADP, not drafted)"
Jose Altuve,jose altuve,514888,29.0,735.0,19,"inferred (top ADP, not drafted)"
Adolis García,adolis garcia,666969,30.0,605.0,69,"inferred (top ADP, not drafted)"
Bo Bichette,bo bichette,666182,31.0,261.0,292,"inferred (top ADP, not drafted)"
Randy Arozarena,randy arozarena,668227,32.0,633.0,54,"inferred (top ADP, not drafted)"
Adley Rutschman,adley rutschman,668939,33.0,610.0,63,"inferred (top ADP, not drafted)"
CJ Abrams,cj abrams,682928,34.0,643.0,52,"inferred (top ADP, not drafted)"
Manny Machado,manny machado,592518,35.0,697.0,27,"inferred (top ADP, not drafted)"
Cody Bellinger,cody bellinger,641355,36.0,586.0,78,"inferred (top ADP, not drafted)"
Royce Lewis,royce lewis,668904,38.0,308.0,264,"inferred (top ADP, not drafted)"
Mike Trout,mike trout,545361,39.0,153.0,380,"inferred (top ADP, not drafted)"
Paul Goldschmidt,paul goldschmidt,502671,40.0,607.0,67,"inferred (top ADP, not drafted)"
Oneil Cruz,oneil cruz,665833,41.0,625.0,56,"inferred (top ADP, not drafted)"
Nico Hoerner,nico hoerner,663538,42.0,650.0,49,"inferred (top ADP, not drafted)"
Kyle Schwarber,kyle schwarber,656941,43.0,760.0,14,"inferred (top ADP, not drafted)"
Christian Yelich,christian yelich,592885,45.0,417.0,175,"inferred (top ADP, not drafted)"
Alex Bregman,alex bregman,608324,46.0,616.0,60,"inferred (top ADP, not drafted)"
J.T. Realmuto,jt realmuto,592663,47.0,426.0,168,"inferred (top ADP, not drafted)"
Will Smith,will smith,669257,50.0,595.0,75,"inferred (top ADP, not drafted)"
Gleyber Torres,gleyber torres,650402,51.0,578.0,82,"inferred (top ADP, not drafted)"
Ha-Seong Kim,haseong kim,673490,52.0,465.0,143,"inferred (top ADP, not drafted)"
Nolan Arenado,nolan arenado,571448,53.0,572.0,85,"inferred (top ADP, not drafted)"
William Contreras,william contreras,661388,54.0,777.0,13,"inferred (top ADP, not drafted)"
Josh Lowe,josh lowe,666139,59.0,401.0,185,"inferred (top ADP, not drafted)"
Ketel Marte,ketel marte,606466,60.0,703.0,26,"inferred (top ADP, not drafted)"
Bryson Stott,bryson stott,681082,66.0,572.0,85,"inferred (top ADP, not drafted)"
Dansby Swanson,dansby swanson,621020,69.0,593.0,77,"inferred (top ADP, not drafted)"
