player,nkey,mlbam_id,adp_hitter_rank,pts,final_hitter_rank,source
Shohei Ohtani,shohei ohtani,660271,1.0,972.0,1,"inferred (top ADP, not drafted)"
Bobby Witt Jr.,bobby witt,677951,2.0,844.0,7,"inferred (top ADP, not drafted)"
Aaron Judge,aaron judge,592450,3.0,970.0,2,"inferred (top ADP, not drafted)"
Elly De La Cruz,elly de la cruz,682829,4.0,785.0,13,"inferred (top ADP, not drafted)"
José Ramírez,jose ramirez,608070,5.0,847.0,6,"inferred (top ADP, not drafted)"
Juan Soto,juan soto,665742,6.0,939.0,3,"inferred (top ADP, not drafted)"
Kyle Tucker,kyle tucker,663656,7.0,702.0,36,"inferred (top ADP, not drafted)"
Gunnar Henderson,gunnar henderson,683002,8.0,715.0,33,"inferred (top ADP, not drafted)"
Mookie Betts,mookie betts,605141,9.0,649.0,57,"inferred (top ADP, not drafted)"
Corbin Carroll,corbin carroll,682998,10.0,829.0,10,"inferred (top ADP, not drafted)"
Francisco Lindor,francisco lindor,596019,11.0,836.0,9,"inferred (top ADP, not drafted)"
Fernando Tatis Jr.,fernando tatis,665487,12.0,804.0,12,"inferred (top ADP, not drafted)"
Vladimir Guerrero Jr.,vladimir guerrero,665489,13.0,723.0,28,"inferred (top ADP, not drafted)"
Julio Rodríguez,julio rodriguez,677594,14.0,838.0,8,"inferred (top ADP, not drafted)"
Yordan Alvarez,yordan alvarez,670541,15.0,190.0,329,"inferred (top ADP, not drafted)"
Jackson Chourio,jackson chourio,694192,16.0,672.0,51,"inferred (top ADP, not drafted)"
Bryce Harper,bryce harper,547180,17.0,632.0,64,"inferred (top ADP, not drafted)"
Jarren Duran,jarren duran,680776,18.0,760.0,18,"inferred (top ADP, not drafted)"
Trea Turner,trea turner,607208,19.0,759.0,19,"inferred (top ADP, not drafted)"
Freddie Freeman,freddie freeman,518692,20.0,695.0,39,"inferred (top ADP, not drafted)"
Ketel Marte,ketel marte,606466,22.0,622.0,69,"inferred (top ADP, not drafted)"
Jackson Merrill,jackson merrill,701538,23.0,500.0,136,"inferred (top ADP, not drafted)"
Matt Olson,matt olson,621566,24.0,758.0,20,"inferred (top ADP, not drafted)"
Austin Riley,austin riley,663586,25.0,419.0,186,"inferred (top ADP, not drafted)"
Rafael Devers,rafael devers,646240,26.0,771.0,15,"inferred (top ADP, not drafted)"
Ronald Acuña Jr.,ronald acuna,660670,27.0,498.0,139,"inferred (top ADP, not drafted)"
Manny Machado,manny machado,592518,28.0,722.0,29,"inferred (top ADP, not drafted)"
William Contreras,william contreras,661388,29.0,681.0,45,"inferred (top ADP, not drafted)"
Pete Alonso,pete alonso,624413,30.0,779.0,14,"inferred (top ADP, not drafted)"
Corey Seager,corey seager,608369,31.0,467.0,155,"inferred (top ADP, not drafted)"
Kyle Schwarber,kyle schwarber,656941,33.0,876.0,5,"inferred (top ADP, not drafted)"
Wyatt Langford,wyatt langford,694671,34.0,615.0,73,"inferred (top ADP, not drafted)"
Jose Altuve,jose altuve,514888,35.0,661.0,53,"inferred (top ADP, not drafted)"
Michael Harris II,michael harris,671739,37.0,623.0,68,"inferred (top ADP, not drafted)"
Marcell Ozuna,marcell ozuna,542303,39.0,534.0,110,"inferred (top ADP, not drafted)"
James Wood,james wood,695578,40.0,758.0,20,"inferred (top ADP, not drafted)"
CJ Abrams,cj abrams,682928,41.0,674.0,49,"inferred (top ADP, not drafted)"
Adley Rutschman,adley rutschman,668939,43.0,318.0,249,"inferred (top ADP, not drafted)"
Lawrence Butler,lawrence butler,671732,44.0,640.0,61,"inferred (top ADP, not drafted)"
Marcus Semien,marcus semien,543760,45.0,489.0,146,"inferred (top ADP, not drafted)"
Anthony Santander,anthony santander,623993,47.0,151.0,365,"inferred (top ADP, not drafted)"
Brenton Doyle,brenton doyle,686668,49.0,514.0,126,"inferred (top ADP, not drafted)"
Yainer Diaz,yainer diaz,673237,51.0,559.0,96,"inferred (top ADP, not drafted)"
Cody Bellinger,cody bellinger,641355,54.0,736.0,23,"inferred (top ADP, not drafted)"
Mike Trout,mike trout,545361,58.0,546.0,102,"inferred (top ADP, not drafted)"
Alex Bregman,alex bregman,608324,62.0,498.0,139,"inferred (top ADP, not drafted)"
Willson Contreras,willson contreras,575929,64.0,568.0,92,"inferred (top ADP, not drafted)"
Christian Yelich,christian yelich,592885,66.0,720.0,31,"inferred (top ADP, not drafted)"
Will Smith,will smith,669257,68.0,533.0,112,"inferred (top ADP, not drafted)"
Dylan Crews,dylan crews,686611,75.0,315.0,255,"inferred (top ADP, not drafted)"
