age,yoy_delta
22,0.9640594363254387
23,0.7614208873748205
24,0.38394129774018326
25,0.10097454648016134
26,-0.0536658914190379
27,-0.1388983252308297
28,-0.18356431922641225
29,-0.22417869650637592
30,-0.457980351411545
31,-0.4451061095411008
32,-0.3525689363435587
33,-0.40447532829478633
34,-0.4809397684236056
35,-0.8406317066372736
36,-0.6731566324366436
37,-1.260353364544111
38,-1.3813395468353997
39,-2.096472177222643
40,-1.945174805991033
41,-1.4018295057759598
42,-0.8368885336578868
