slot,abbrev,team
1,THALER,The Chosen Juan
2,Dan,Some Ting Wong
3,Dpf,Baseball Phanatic
4,CJF,The Real Doctor
5,LTTA,Let’s try this again
6,GLIZZY,The Greatest Glizzy Guzzlers
7,CH,Charlie Hustle
8,GK,Gotham Knights
9,BAMBI,The Great Bambi
10,MMM,Midwest MooseKnuckle Mafia
11,CS,City to the Shore
12,BB,Basketball
