player,pos,mlb,owner,age,fpts,IP,K,ER,BS,QS,CG,SHO,GP
Bubba Chandler,SP,PIT,FA,23,224,142,129,67,0,5,0,0,28
Keider Montero,SP,DET,CS,26,,147,98,58,0,9,0,0,30
Kumar Rocker,SP,TEX,FA,26,221.67,138.2,132,70,1,6,0,0,28
Kyle Harrison,SP,MIL,BB,25,219.67,110.2,134,49,0,6,0,0,24
Casey Mize,SP,SD,THALER,29,,119.1,107,49,0,10,0,0,23
Merrill Kelly,SP,ARI,W (Sun),37,216,152,102,84,0,9,1,0,27
Anthony Kay,SP,CHW,GK,31,213,145,118,74,0,6,0,0,30
Walker Buehler,SP,SD,CS,32,,138.2,121,71,0,6,0,0,29
Sean Manaea,SP,NYM,FA,34,212.33,133.1,126,71,0,6,0,0,30
Shohei Ohtani,"UT,SP",LAD,BB,32,,85.2,95,17,0,12,0,0,134
Martin Perez,SP,ATL,FA,35,,131.2,98,45,0,5,0,0,28
Roki Sasaki,SP,LAD,FA,24,203.33,119.1,117,61,0,7,0,0,23
Troy Melton,SP,DET,BAMBI,25,202,108,87,29,0,9,0,0,18
Shane Drohan,SP,MIL,LTTA,27,,118,119,57,0,5,0,0,29
Shane McClanahan,SP,TB,FA,29,196,118,106,44,0,4,0,0,24
Logan Henderson,SP,MIL,BB,24,192.33,88.1,99,23,0,7,0,0,16
Zebby Matthews,SP,MIN,CH,26,192.33,119.1,99,66,0,10,0,0,21
Max Fried,SP,NYY,GK,32,,99,94,30,0,7,0,0,18
Bailey Ober,SP,MIN,FA,31,188.67,117.2,85,56,0,6,1,1,22
Brandon Pfaadt,SP,ARI,Dpf,27,,124,84,52,0,8,0,0,27
Colin Rea,SP,CHC,FA,36,187,133,100,66,0,5,0,0,31
Christian Scott,SP,NYM,LTTA,27,185.33,99.1,120,42,0,2,0,0,21
Hunter Brown,SP,HOU,MMM,28,,92,100,36,0,7,0,0,17
David Peterson,SP,CHC,FA,31,,131.1,117,77,0,3,0,0,29
Michael Soroka,SP,ARI,FA,29,183.33,99.1,95,39,0,7,0,0,19
