overall|round|pick|team|player|pos|mlb|type
1|1|1|Baseball Phanatic|Mookie Betts|SS|LAD|LS
2|1|2|Charlie Hustle|Riley Greene|OF|DET|LS
3|1|3|Charlie Hustle|Tyler Soderstrom|1B,OF|ATH|LS
4|1|4|The Real Doctor|Oneil Cruz|OF|PIT|LS
5|1|5|City to the Shore|Jesus Luzardo|SP|PHI|LS
6|1|6|The Greatest Glizzy Guzzlers|Luis Arraez|1B,2B|PHI|LS
7|1|7|Gotham Knights|Tyler Glasnow|SP|LAD|LS
8|1|8|Midwest MooseKnuckle Mafia|Chris Sale|SP|ATL|LS
9|1|9|Let's try this again|George Springer|OF|TOR|LS
10|1|10|The Great Bambi|Jakob Marsee|OF|MIA|LS
11|1|11|The Great Bambi|Trey Yesavage|SP|TOR|LS
12|1|12|The Great Bambi|Eury Perez|SP|MIA|LS
13|2|1|Midwest MooseKnuckle Mafia|Jacob Misiorowski|SP|MIL|LS
14|2|2|Midwest MooseKnuckle Mafia|Jacob deGrom|SP|TEX|LS
15|2|3|Some Ting Wong|Brandon Nimmo|OF|TEX|LA
16|2|4|The Real Doctor|Hunter Goodman|C|COL|LS
17|2|5|City to the Shore|Taylor Ward|OF|SEA|LS
18|2|6|The Greatest Glizzy Guzzlers|William Contreras|C|MIL|LA
19|2|7|Baseball Phanatic|George Kirby|SP|SEA|LS
20|2|8|Charlie Hustle|Corey Seager|SS|TEX|LS
21|2|9|Let's try this again|Kevin Gausman|SP|CHC|LS
22|2|10|Baseball Phanatic|Lawrence Butler|OF|ATH|LS
23|2|11|The Great Bambi|Jose Altuve|2B,OF|HOU|LS
24|2|12|Midwest MooseKnuckle Mafia|Luke Keaschall|2B,OF|MIN|LS
25|3|1|Some Ting Wong|Michael Harris II|OF|ATL|LA
26|3|2|Midwest MooseKnuckle Mafia|Joe Ryan|SP|MIN|LS
27|3|3|Some Ting Wong|Spencer Torkelson|1B|DET|LA
28|3|4|The Real Doctor|Jacob Wilson|SS|ATH|LS
29|3|5|City to the Shore|Luis Castillo|SP|CHW|LS
30|3|6|Midwest MooseKnuckle Mafia|Agustin Ramirez|C|MIA|LS
31|3|7|Basketball|Dylan Cease|SP|TOR|LS
32|3|8|Some Ting Wong|Salvador Perez|C,1B|KC|LA
33|3|9|Let's try this again|Geraldo Perdomo|SS|ARI|LS
34|3|10|Some Ting Wong|Matt Chapman|3B|SF|LA
35|3|11|The Real Doctor|Tanner Bibee|SP|CLE|LS
36|3|12|Some Ting Wong|Sonny Gray|SP|BOS|LA
37|4|1|Midwest MooseKnuckle Mafia|Sandy Alcantara|SP|MIA|LS
38|4|2|Baseball Phanatic|Aaron Nola|SP|PHI|LS
39|4|3|Charlie Hustle|Zac Gallen|SP|ARI|LS
40|4|4|The Real Doctor|Munetaka Murakami|1B,3B|CHW|LS
41|4|5|City to the Shore|Willy Adames|SS|SF|LS
42|4|6|The Great Bambi|Seiya Suzuki|OF,UT|CHC|LS
43|4|7|Gotham Knights|Noelvi Marte|3B,OF|CIN|LS
44|4|8|The Great Bambi|CJ Abrams|SS|WSH|LS
45|4|9|Let's try this again|Nathan Eovaldi|SP|TEX|LS
46|4|10|Charlie Hustle|Nick Pivetta|SP|SD|LS
47|4|11|Baseball Phanatic|J.T. Realmuto|C|PHI|LS
48|4|12|Some Ting Wong|Ryan Pepiot|SP|TB|LA
