team_id,team,abbrev
h0abzsrxmgciv7ew,Gotham Knights,GK
l2otmc5cmgciv7f2,Charlie Hustle,CH
e4xrbit0mgciv7ey,The Chosen Juan,THALER
feq8x9yjmgciv7ey,The Great Bambi,BAMBI
kf4wesaxmgciv7f3,Let’s try this again,LTTA
yse6jcrcmgciv7f1,City to the Shore,CS
jfnfpburmgciv7f0,Baseball Phanatic,Dpf
r1w394jpmgciv7eu,Basketball,BB
ncdotd3zmgciv7ex,Some Ting Wong,Dan
cmmq1zukmgciv7ev,The Real Doctor,CJF
gd1wsrztmgciv7f2,Midwest MooseKnuckle Mafia,MMM
8nb4lq85mgciv7ez,The Greatest Glizzy Guzzlers,GLIZZY
