mlbam_id,name,team,bats,elig,owner,games,week_pts,avg_mult,base_rate,pa_g,woba_30,pa_30,rank
624585,Jorge Soler,Los Angeles Angels,R,UT,Dan,7,28.5,1.04,0.932,4.2,,,50
668709,JJ Bleday,Cincinnati Reds,L,OF,THALER,7,28.4,1.047,0.973,3.99,0.2716363636363636,110.0,51
664040,Brandon Lowe,Pittsburgh Pirates,L,2B,BB,6,28.4,1.16,0.967,4.21,0.3670212765957447,95.0,52
553993,Eugenio Suárez,Cincinnati Reds,R,3B,FA,7,28.4,1.095,0.934,3.97,0.3733333333333333,99.0,53
686527,Dominic Canzone,Seattle Mariners,L,OF,GK,6,28.2,1.131,0.995,4.18,0.31121739130434783,115.0,54
680777,Ryan Jeffers,Minnesota Twins,R,C,CH,7,28.1,1.003,0.999,4.01,0.31310344827586206,88.0,55
700250,Ben Rice,New York Yankees,L,1B,CS,6,28.1,1.028,1.02,4.46,0.3965486725663717,113.0,56
647304,Josh Naylor,Seattle Mariners,L,1B,GLIZZY,6,28.0,1.131,0.973,4.24,0.2731192660550459,110.0,57
547180,Bryce Harper,Philadelphia Phillies,L,1B/OF,BAMBI,6,28.0,1.08,1.018,4.24,0.4089090909090909,110.0,58
669134,Luis Campusano,San Diego Padres,R,C,FA,7,27.9,1.104,0.99,3.65,0.2840506329113924,79.0,59
672640,Otto Lopez,Miami Marlins,R,SS,Dan,6,27.9,1.036,1.015,4.42,0.33499999999999996,120.0,60
669392,Samad Taylor,San Diego Padres,R,OF,GLIZZY,7,27.8,1.134,0.978,3.59,0.28388888888888886,37.0,61
641487,J.P. Crawford,Seattle Mariners,L,3B/SS,FA,6,27.8,1.194,0.919,4.23,0.35156626506024097,85.0,62
668804,Bryan Reynolds,Pittsburgh Pirates,S,OF,MMM,6,27.7,1.044,1.001,4.42,0.3161261261261261,111.0,63
686469,Vinnie Pasquantino,Kansas City Royals,L,1B,FA,6,27.6,1.145,0.952,4.22,0.3783809523809524,105.0,64
608324,Alex Bregman,Chicago Cubs,R,3B,CH,6,27.5,1.069,0.959,4.47,0.43433333333333335,120.0,65
624413,Pete Alonso,Baltimore Orioles,R,1B,GK,6,27.4,1.013,1.028,4.38,0.3813223140495868,123.0,66
646240,Rafael Devers,San Francisco Giants,L,1B,Dan,6,27.4,1.037,0.993,4.43,0.49676190476190474,108.0,67
677594,Julio Rodríguez,Seattle Mariners,R,OF,BB,6,27.4,1.04,0.995,4.42,0.21033333333333334,120.0,68
670541,Yordan Alvarez,Houston Astros,L,OF,MMM,6,27.4,1.0,1.081,4.23,0.3482608695652174,100.0,69
666176,Jo Adell,Cleveland Guardians,R,OF,FA,6,27.3,1.124,0.961,4.2,0.3290825688073395,110.0,70
650490,Yandy Díaz,Tampa Bay Rays,R,UT,LTTA,6,27.2,1.022,0.992,4.47,0.3390756302521008,121.0,71
695681,Christian Moore,Los Angeles Angels,R,2B,FA,7,27.2,1.029,0.938,4.03,0.21674157303370786,89.0,72
656941,Kyle Schwarber,Philadelphia Phillies,L,UT,CS,6,27.2,0.987,1.007,4.55,0.3123728813559322,119.0,73
691406,Junior Caminero,Tampa Bay Rays,R,3B,BAMBI,6,27.1,1.03,1.01,4.34,0.3644736842105263,117.0,74
686797,Brooks Lee,Minnesota Twins,S,3B/SS,BAMBI,7,27.1,1.011,0.942,4.06,0.3033018867924528,106.0,75
641343,Jake Bauers,Milwaukee Brewers,L,1B/OF,THALER,6,27.0,1.1,1.023,4.0,0.40097826086956523,92.0,76
673548,Seiya Suzuki,Chicago Cubs,R,OF,BAMBI,6,27.0,0.994,1.002,4.52,0.3546341463414634,123.0,77
686948,Drake Baldwin,Atlanta Braves,L,C,BAMBI,6,26.9,0.997,1.008,4.46,0.34936,125.0,78
695657,Colson Montgomery,Chicago White Sox,L,3B/SS,THALER,7,26.8,0.985,0.939,4.14,0.28943925233644857,107.0,79
592450,Aaron Judge,New York Yankees,R,OF,MMM,6,26.8,1.062,1.022,4.11,0.24454545454545454,22.0,80
681715,Heriberto Hernández,Miami Marlins,R,OF,FA,6,26.7,1.026,1.004,4.33,0.32196721311475407,122.0,81
701785,Kaelen Culpepper,Minnesota Twins,R,SS,FA,7,26.6,1.036,0.96,3.82,0.3202197802197802,91.0,82
