gamePk,date,gameDate,status,venue_id,venue,dayNight,doubleHeader,team_id,team,home,opp_id,opp,sp_id,sp_name,sp_source,opp_sp_id,opp_sp_name,opp_sp_source
824466,2026-09-15,2026-09-15T22:40:00Z,Pre-Game,2602,Great American Ball Park,night,N,119,Los Angeles Dodgers,False,113,Cincinnati Reds,808967.0,Yoshinobu Yamamoto,listed,695076.0,Rhett Lowder,listed
822683,2026-09-15,2026-09-15T22:45:00Z,Pre-Game,3309,Nationals Park,night,N,120,Washington Nationals,True,143,Philadelphia Phillies,800600.0,Jackson Kent,listed,650911.0,Cristopher Sánchez,listed
822683,2026-09-15,2026-09-15T22:45:00Z,Pre-Game,3309,Nationals Park,night,N,143,Philadelphia Phillies,False,120,Washington Nationals,650911.0,Cristopher Sánchez,listed,800600.0,Jackson Kent,listed
822762,2026-09-15,2026-09-15T23:07:00Z,Pre-Game,14,Rogers Centre,night,N,141,Toronto Blue Jays,True,116,Detroit Tigers,680755.0,Braydon Fisher,listed,623454.0,Drew Anderson,listed
822762,2026-09-15,2026-09-15T23:07:00Z,Pre-Game,14,Rogers Centre,night,N,116,Detroit Tigers,False,141,Toronto Blue Jays,623454.0,Drew Anderson,listed,680755.0,Braydon Fisher,listed
823574,2026-09-15,2026-09-15T23:10:00Z,Scheduled,3289,Citi Field,night,N,121,New York Mets,True,110,Baltimore Orioles,640455.0,Sean Manaea,listed,669358.0,Shane Baz,listed
823574,2026-09-15,2026-09-15T23:10:00Z,Scheduled,3289,Citi Field,night,N,110,Baltimore Orioles,False,121,New York Mets,669358.0,Shane Baz,listed,640455.0,Sean Manaea,listed
823654,2026-09-15,2026-09-15T23:40:00Z,Pre-Game,3312,Target Field,night,N,142,Minnesota Twins,True,147,New York Yankees,641927.0,Bailey Ober,listed,608331.0,Max Fried,listed
823654,2026-09-15,2026-09-15T23:40:00Z,Pre-Game,3312,Target Field,night,N,147,New York Yankees,False,142,Minnesota Twins,608331.0,Max Fried,listed,641927.0,Bailey Ober,listed
824627,2026-09-15,2026-09-15T23:40:00Z,Scheduled,17,Wrigley Field,night,N,112,Chicago Cubs,True,144,Atlanta Braves,592332.0,Kevin Gausman,listed,527048.0,Martín Pérez,listed
